tracked_user_id,tracked_username,level,from_user_id,from_username,from_name,to_user_id,to_username,to_name,distinct_txn_count,total_amount_received,first_received_at,last_received_at,example_path
366478,ak9,1,0,,,366478,ak9,请叫我大美女,27,238777.77,2019-05-13 07:48:30,2025-09-09 11:46:53,[UID:0] → ak9
366478,ak9,1,4639797,redpayrppool,5 Rp Campaign,366478,ak9,请叫我大美女,1,5.00,2024-12-11 09:53:00,2024-12-11 09:53:00,redpayrppool → ak9
366478,ak9,2,0,,,0,,,1,1085.28,2022-06-24 02:45:01,2022-06-24 02:45:01,[UID:0] → [UID:0] → ak9
4660958,axjf131931,1,2006855,cxq3333,cxq3333,4660958,axjf131931,axjf131931,15,96370.00,2025-05-02 08:32:24,2025-09-23 13:55:11,cxq3333 → axjf131931
4660958,axjf131931,1,4241820,zzf685413,zzf685413,4660958,axjf131931,axjf131931,37,59854.00,2024-12-08 11:01:43,2025-10-04 08:29:47,zzf685413 → axjf131931
4660958,axjf131931,1,1605739,wzt5807,1314,4660958,axjf131931,axjf131931,5,42650.00,2025-07-05 15:00:23,2025-09-01 01:11:14,wzt5807 → axjf131931
4660958,axjf131931,1,2740598,zdf5956,zdf5956,4660958,axjf131931,axjf131931,5,34158.00,2025-05-12 00:20:36,2025-07-11 14:40:34,zdf5956 → axjf131931
4660958,axjf131931,1,4411603,hy1031,hy1031,4660958,axjf131931,axjf131931,4,30575.00,2025-06-26 14:50:45,2025-07-03 12:48:42,hy1031 → axjf131931
4660958,axjf131931,1,4411704,dhy131,dhy131,4660958,axjf131931,axjf131931,3,28225.00,2025-06-25 04:08:12,2025-06-30 11:38:07,dhy131 → axjf131931
4660958,axjf131931,1,4411626,crp131,crp131,4660958,axjf131931,axjf131931,3,26200.00,2025-06-15 02:46:48,2025-06-20 09:43:31,crp131 → axjf131931
4660958,axjf131931,1,2740573,zdf5955,zdf5955,4660958,axjf131931,axjf131931,3,22050.00,2025-05-30 12:34:46,2025-07-13 23:47:09,zdf5955 → axjf131931
4660958,axjf131931,1,4747611,dijincheng,dijincheng,4660958,axjf131931,axjf131931,17,20423.72,2025-05-19 14:22:10,2025-10-12 04:18:51,dijincheng → axjf131931
4660958,axjf131931,1,2740630,zdf5957,zdf5957,4660958,axjf131931,axjf131931,2,17480.00,2025-05-20 11:50:50,2025-07-07 15:22:23,zdf5957 → axjf131931
4660958,axjf131931,1,4410920,zdf686868,zdf686868,4660958,axjf131931,axjf131931,3,16991.00,2025-05-08 05:17:50,2025-05-18 02:28:36,zdf686868 → axjf131931
4660958,axjf131931,1,4079672,zzf5431,zzf5431,4660958,axjf131931,axjf131931,2,16730.00,2025-05-28 01:42:49,2025-05-31 16:34:48,zzf5431 → axjf131931
4660958,axjf131931,1,2740762,tcab1227,tcab1227,4660958,axjf131931,axjf131931,2,12250.00,2025-06-12 09:49:41,2025-07-02 13:13:06,tcab1227 → axjf131931
4660958,axjf131931,1,4411679,mwq131,mwq131,4660958,axjf131931,axjf131931,3,7541.00,2025-07-02 13:00:04,2025-07-06 23:21:55,mwq131 → axjf131931
4660958,axjf131931,1,4079669,zzf5413,zzf5413,4660958,axjf131931,axjf131931,1,6750.00,2025-06-08 07:07:52,2025-06-08 07:07:52,zzf5413 → axjf131931
4660958,axjf131931,1,4079685,zzf5436,zzf5436,4660958,axjf131931,axjf131931,1,6750.00,2025-06-01 12:24:26,2025-06-01 12:24:26,zzf5436 → axjf131931
4660958,axjf131931,1,4130864,zzf5418,zzf5418,4660958,axjf131931,axjf131931,1,6750.00,2025-06-03 13:57:04,2025-06-03 13:57:04,zzf5418 → axjf131931
4660958,axjf131931,1,3993316,djc866,djc866,4660958,axjf131931,axjf131931,2,5007.38,2024-12-08 10:59:24,2025-03-07 02:33:09,djc866 → axjf131931
4660958,axjf131931,1,3890172,lce1677,lce1677,4660958,axjf131931,axjf131931,1,3999.00,2025-04-29 07:07:14,2025-04-29 07:07:14,lce1677 → axjf131931
4660958,axjf131931,1,0,,,4660958,axjf131931,axjf131931,186,3521.53,2024-11-29 01:25:10,2025-10-12 00:05:00,[UID:0] → axjf131931
4660958,axjf131931,1,4651825,s1094182670,s1094182670,4660958,axjf131931,axjf131931,1,310.53,2025-08-10 08:51:16,2025-08-10 08:51:16,s1094182670 → axjf131931
4660958,axjf131931,1,4651591,catcwr,catcwr,4660958,axjf131931,axjf131931,1,210.66,2025-08-10 08:53:18,2025-08-10 08:53:18,catcwr → axjf131931
4660958,axjf131931,1,4764944,qqdjaaa,qqdjaaa,4660958,axjf131931,axjf131931,1,169.37,2025-04-24 07:56:41,2025-04-24 07:56:41,qqdjaaa → axjf131931
4660958,axjf131931,1,4749613,ctt211314,ctt211314,4660958,axjf131931,axjf131931,1,147.33,2025-04-01 04:30:49,2025-04-01 04:30:49,ctt211314 → axjf131931
4660958,axjf131931,1,4750911,houzi666,houzi666,4660958,axjf131931,axjf131931,1,121.47,2025-04-16 12:33:19,2025-04-16 12:33:19,houzi666 → axjf131931
4660958,axjf131931,1,976580,lhh8136,刘化洪1,4660958,axjf131931,axjf131931,1,100.00,2024-11-27 13:50:27,2024-11-27 13:50:27,lhh8136 → axjf131931
4660958,axjf131931,1,4807219,xiao12389,xiao12389,4660958,axjf131931,axjf131931,2,27.00,2025-07-20 12:54:46,2025-07-20 12:55:19,xiao12389 → axjf131931
4660958,axjf131931,2,2006855,cxq3333,cxq3333,4241820,zzf685413,zzf685413,74,11457122.15,2022-02-05 01:50:25,2025-10-09 04:07:42,cxq3333 → zzf685413 → axjf131931
4660958,axjf131931,2,1605739,wzt5807,1314,4241820,zzf685413,zzf685413,32,6443429.75,2023-03-30 10:47:03,2025-10-05 02:31:14,wzt5807 → zzf685413 → axjf131931
4660958,axjf131931,2,2740598,zdf5956,zdf5956,4241820,zzf685413,zzf685413,25,5944586.50,2023-04-12 07:13:58,2025-07-13 23:48:04,zdf5956 → zzf685413 → axjf131931
4660958,axjf131931,2,4410920,zdf686868,zdf686868,4241820,zzf685413,zzf685413,59,4601283.00,2024-05-25 12:30:34,2025-05-21 12:50:22,zdf686868 → zzf685413 → axjf131931
4660958,axjf131931,2,571392,zth6789,晴6868,4241820,zzf685413,zzf685413,32,2814201.50,2023-01-06 02:48:06,2025-03-28 13:25:43,zth6789 → zzf685413 → axjf131931
4660958,axjf131931,2,2740573,zdf5955,zdf5955,4241820,zzf685413,zzf685413,24,2153104.00,2022-08-21 00:56:27,2025-05-31 16:22:06,zdf5955 → zzf685413 → axjf131931
4660958,axjf131931,2,1605739,wzt5807,1314,2006855,cxq3333,cxq3333,36,1744235.40,2022-05-15 10:12:49,2025-10-04 07:59:00,wzt5807 → cxq3333 → axjf131931
4660958,axjf131931,2,1605739,wzt5807,1314,2740598,zdf5956,zdf5956,11,1673690.00,2023-04-14 09:10:55,2025-06-12 11:29:38,wzt5807 → zdf5956 → axjf131931
4660958,axjf131931,2,571392,zth6789,晴6868,2006855,cxq3333,cxq3333,119,1470308.25,2021-01-08 01:28:24,2025-10-09 03:27:30,zth6789 → cxq3333 → axjf131931
4660958,axjf131931,2,4747611,dijincheng,dijincheng,4241820,zzf685413,zzf685413,18,1400985.02,2025-05-19 14:22:25,2025-10-12 04:19:28,dijincheng → zzf685413 → axjf131931
4660958,axjf131931,2,4660958,axjf131931,axjf131931,4241820,zzf685413,zzf685413,27,1382175.33,2024-11-29 02:14:09,2025-09-23 14:59:09,axjf131931 → zzf685413 → axjf131931
4660958,axjf131931,2,2740598,zdf5956,zdf5956,2006855,cxq3333,cxq3333,90,1307481.75,2022-03-24 02:19:19,2025-10-09 03:29:40,zdf5956 → cxq3333 → axjf131931
